Composition,log_H2_W% (max),temperature(K),MagpieData mean Column,VEC mean,MagpieData mean Number,MagpieData mode CovalentRadius,MagpieData mean MendeleevNumber,Mixing enthalpy,Mean cohesive energy,MagpieData mode Number,MagpieData mode NdValence,MagpieData mean NsValence,MagpieData avg_dev CovalentRadius,MagpieData avg_dev AtomicWeight,MagpieData mean CovalentRadius,MagpieData range Electronegativity,MagpieData mean SpaceGroupNumber,MagpieData avg_dev NValence,Shear modulus local mismatch,Miedema_deltaH_ss_min,MagpieData avg_dev MendeleevNumber,Shear modulus mean,MagpieData mean GSvolume_pa,Thermal_Enthalpy_Interaction,Valence_Electron_Concentration,Electromechanical_Mismatch,Atomic_Deviation_Ratio,Squared_Electronegativity_Range,Group_Valence_Product,Temperature_Normalized_by_Mendeleev,Mismatch_Enthalpy_Ratio,Covalent_Deviation_Squared,Atomic_Weight_Deviation_Product,H2_W% (max)
Mg2Ni0.75Fe0.25,1.5260563034950492,585,4.5,4.5,17.16666667,141,65.16666667,1.166666667,2.473333333,12,0,2.0,6.666666667,14.96724444,136.0,0.6,204.6666667,3.333333333,13.31423611,0.069757865,3.777777778,37.12916667,18.73416667,40.808351025,0.1165048543463097,7.988541666,0.4454171035774171,0.36,9.0,8.97698209672752,0.0052393441443934,44.444444448888895,256.93769626989086,3.5999999999999996
Mg2Ni0.85Al0.15 ,1.4816045409242156,600,4.816666667,4.316666667,16.58333333,141,66.26666667,4.535555556,2.434166667,12,0,2.0,7.755555556,13.88967607,135.1833333,0.6,204.3333333,3.220555556,11.89118333,0.028760136,2.984444444,34.167,19.008,17.256081599999998,0.1206030150996187,7.134709998,0.5583683533665015,0.36,9.633333334,9.054325955278957,0.0024186100913474,60.14864198220247,230.3371281145344,3.4000000000000004
Mg3La1,1.589235205116581,563,2.25,2.25,23.25,141,54.25,5.25,2.25,12,0,2.0,24.75,42.97517625,157.5,0.21,194.0,0.375,0.459375,-0.024638598,20.625,16.7475,26.391875,-13.871530674,0.086021505376344,0.0964687499999999,0.575913868416072,0.0440999999999999,4.5,10.377880184331795,-0.0536350432653061,612.5625,999.1728478125,3.9000000000000004
Mg9Ce1,1.6094379124341005,622,2.1,2.2,16.6,141,62.7,2.52,1.791,12,0,2.0,11.34,20.84598,147.3,0.19,194.0,0.36,0.4851,-0.019237931,9.54,16.821,24.325,-11.965993082,0.1204819277108433,0.092169,0.5439897764461061,0.0361,4.2,9.920255183413078,-0.0396576602762317,128.5956,346.04326800000007,4.000000000000001
Mg1Ni0.86Mn0.03,1.1314021114911006,573,5.71957672,5.71957672,19.48677249,141,64.56084656,3.747263514,2.865608466,12,0,2.0,8.40234036,17.07287889,133.2328042,0.6,208.4708995,3.936060021,14.39660872,-0.06447445,3.639315809,44.54952381,16.97345375,-36.94385985,0.1026337224918255,8.637965231999999,0.4921454907597017,0.36,11.43915344,8.875348303673173,-0.004478447060274,70.59932352528493,332.6953066787537,2.1
Mg1Ti0.39Cu0.29 ,1.5686159179138452,623,4.017857143,4.017857143,17.25595238,141,61.50595238,6.167942177,2.627142857,12,0,1.827380952,7.494897959,14.57558815,143.8571429,0.59,199.3511905,2.410501701,6.122572633,0.058266489,8.59204932,27.25613095,19.41035714,36.300022647,0.1058985857029816,3.61231785347,0.5142089555405008,0.3480999999999999,7.34215561097534,10.129100938896803,0.0095166676644961,56.173495415822366,251.5156550268923,3.8
Mg0.90Ce0.1,1.908059924924216,593,2.1,2.2,16.6,141,62.7,2.52,1.791,12,0,2.0,11.34,20.84598,147.3,0.19,194.0,0.36,0.4851,-0.019237931,9.54,16.821,24.325,-11.408093083,0.1204819277108433,0.092169,0.5439897764461061,0.0361,4.2,9.45773524720893,-0.0396576602762317,128.5956,346.04326800000007,5.740000000000003
Mg2Fe1,1.867176108512809,673,4.0,4.0,16.66666667,141,63.66666667,16.0,2.433333333,12,0,2.0,4.0,14.01777778,138.0,0.52,205.6666667,2.666666667,14.25777778,0.184896988,5.777777778,38.74666667,18.83666667,124.435672924,0.1199999999759999,7.4140444456,0.2853519340067609,0.2704,8.0,10.570680627718811,0.0129681490939887,16.0,233.6296297133926,5.469999999999998
Mg0.928Ni0.024Y0.048,1.7749523509116738,623,2.24,2.24,13.68,141,65.144,1.568256,1.7176,12,0,2.0,4.517376,7.286957414,142.944,0.69,194.744,0.44544,1.71755904,-0.022108761,5.300736,19.14968,23.04312,-13.773758103,0.1461988304093567,1.1851157376,0.6199262248083175,0.4760999999999999,4.48,9.563428711776986,-0.0128721985591831,20.406685925376,99.68557742352,4.9
Mg0.80Ag0.15Al0.05,0.9932517730102832,573,3.9,3.4,17.3,141,67.8,5.24,1.82,12,0,1.85,1.96,21.26846792,140.6,0.62,200.2,2.28,1.73945,-0.102034229,0.84,19.515,21.5855,-58.465613217000005,0.1069364161849711,1.078459,0.0921552040030535,0.3844,7.215,8.451327433628318,-0.058658903101555,3.8416,367.944495016,1.6999999999999997
