Composition,Alloy_class,Dataset,temperature(K),Citation,log_H2_W% (max)
Ho2Co7 ,MIC,HydPark,323,DOE_data_url,0.7419373447293773
Ho1Co3,MIC,HydPark,373,DOE_data_url,0.7884573603642702
Ho1Fe3,MIC,HydPark,423,DOE_data_url,0.6931471805599453
La0.5Ca0.5Ni3,MIC,HydPark,293,DOE_data_url,0.9555114450274363
La0.5Ca1.5Mg1Ni9 ,MIC,HydPark,293,DOE_data_url,1.0647107369924282
La2.4Er3.8Co11Ga3,MIC,HydPark,303,DOE_data_url,0.6931471805599453
La2.4Er3.8Co2Ni9Ga3,MIC,HydPark,303,DOE_data_url,0.6931471805599453
La2.4Er3.8Co4Ni7Ga3,MIC,HydPark,303,DOE_data_url,0.6931471805599453
La2Ni7,MIC,HydPark,323,DOE_data_url,0.8754687373538999
La3Ni1,MIC,HydPark,303,DOE_data_url,1.0647107369924282
La5Mg2Ni23,MIC,HydPark,333,DOE_data_url,0.9162907318741551
La1Ca1Mg1Ni6Al0.3,MIC,HydPark,293,DOE_data_url,1.0647107369924282
La1Ca1Mg1Ni6Mn3,MIC,HydPark,293,DOE_data_url,1.0296194171811581
La1Ca1Mg1Ni9,MIC,HydPark,293,DOE_data_url,1.0296194171811581
La1Mg2Cu2,MIC,HydPark,443,DOE_data_url,1.2237754316221157
La1Mg2Ni9,MIC,HydPark,303,DOE_data_url,0.2851789422336624
Lu1Co3,MIC,HydPark,293,DOE_data_url,0.6931471805599453
Mg2Al3,MIC,HydPark,599,DOE_data_url,1.1939224684724346
Mg2Al1Li0.28,MIC,HydPark,625,DOE_data_url,1.5686159179138452
Mg4Al5,MIC,HydPark,574,DOE_data_url,1.1631508098056809
Mg51Zn20,MIC,HydPark,603,DOE_data_url,1.5260563034950492
Mg6Pd1,MIC,HydPark,433,DOE_data_url,0.6418538861723948
Mg1Al1,MIC,HydPark,625,DOE_data_url,1.3862943611198906
Nd2Co7,MIC,HydPark,398,DOE_data_url,0.7884573603642702
Nd3Ni1,MIC,HydPark,303,DOE_data_url,1.0647107369924282
Nd1Co3 ,MIC,HydPark,293,DOE_data_url,0.832909122935104
Nd1Co3,MIC,HydPark,353,DOE_data_url,0.832909122935104
Pr2.5Mg0.5Ni1,MIC,HydPark,303,DOE_data_url,1.2237754316221157
Pr2Co7,MIC,HydPark,373,DOE_data_url,0.5306282510621704
Pr2Co7 ,MIC,HydPark,423,DOE_data_url,0.7419373447293773
Pr2Dy1Ni1,MIC,HydPark,303,DOE_data_url,1.0647107369924282
Pr2Ni7,MIC,HydPark,298,DOE_data_url,0.8754687373538999
Pr3Ni0.5Cu0.5,MIC,HydPark,303,DOE_data_url,1.0296194171811581
Pr1Co3,MIC,HydPark,373,DOE_data_url,0.832909122935104
Sm1Co3,MIC,HydPark,342,DOE_data_url,0.4700036292457356
Sm1Co3,MIC,HydPark,448,DOE_data_url,0.9555114450274363
Sm1Fe3,MIC,HydPark,623,DOE_data_url,0.6931471805599453
Tb2Co7 ,MIC,HydPark,323,DOE_data_url,0.7419373447293773
Tb1Co3 ,MIC,HydPark,348,DOE_data_url,0.8754687373538999
Tb1Fe3,MIC,HydPark,423,DOE_data_url,0.7419373447293773
Th2Co1,MIC,HydPark,313,DOE_data_url,0.4054651081081644
Th2Fe7,MIC,HydPark,313,DOE_data_url,0.5306282510621704
Th6Mn23,MIC,HydPark,297,DOE_data_url,0.7419373447293773
Th7Co3,MIC,HydPark,313,DOE_data_url,0.9932517730102833
Th7Fe3,MIC,HydPark,313,DOE_data_url,0.9932517730102833
Th7Ni3,MIC,HydPark,313,DOE_data_url,0.9162907318741551
Th1Fe3,MIC,HydPark,313,DOE_data_url,0.5306282510621704
Th1Ni1Al1,MIC,HydPark,313,DOE_data_url,0.6418538861723948
Ti3Al1,MIC,HydPark,323,DOE_data_url,1.3609765531356006
Y2Ni7,MIC,HydPark,323,DOE_data_url,0.262364264467491
Y4.3Sc0.7Si2.6Ge0.4,MIC,HydPark,699,DOE_data_url,0.4054651081081644
Y5Si3,MIC,HydPark,671,DOE_data_url,0.33647223662121295
Y1Co2.4Fe0.6,MIC,HydPark,393,DOE_data_url,0.9162907318741551
Y1Co2.4Ni0.6,MIC,HydPark,393,DOE_data_url,0.8754687373538999
Y1Co2.9Ni0.1,MIC,HydPark,301,DOE_data_url,0.4700036292457356
Y1Co3,MIC,HydPark,323,DOE_data_url,0.33647223662121295
Y1Co3,MIC,HydPark,348,DOE_data_url,0.9162907318741551
Y1Co3,MIC,HydPark,316,DOE_data_url,0.4700036292457356
Y1Fe1.5Ni1.5,MIC,HydPark,393,DOE_data_url,0.832909122935104
Y1Ni3,MIC,HydPark,323,DOE_data_url,0.37156355643248307
Zr0.1Tb0.9Fe1.5Co1.5,MIC,HydPark,348,DOE_data_url,0.7419373447293773
Zr0.2Tb0.8Fe1.5Co1.5,MIC,HydPark,348,DOE_data_url,0.5877866649021191
Zr2Ni5,MIC,HydPark,333,DOE_data_url,0.4054651081081644
Zr36Ni64,MIC,HydPark,333,DOE_data_url,0.7419373447293773
Zr7Ni10,MIC,HydPark,333,DOE_data_url,0.8754687373538999
Zr7Ni10,MIC,HydPark,353,DOE_data_url,0.8754687373538999
V0.846Ti0.105Fe0.05,MIC,HydPark,313,DOE_data_url,1.4586150226995167
V0.819Ti0.091Al0.05Fe0.04,MIC,HydPark,298,DOE_data_url,1.2809338454620642
V0.855Ti0.095Fe0.05,MIC,HydPark,353,DOE_data_url,1.547562508716013
Nb0.736Fe0.184Cr0.08,MIC,HydPark,318,DOE_data_url,0.6931471805599453
Nb0.865Fe0.065Cr0.07,MIC,HydPark,318,DOE_data_url,0.6931471805599453
Nb0.8V0.2,MIC,HydPark,313,DOE_data_url,1.1631508098056809
Nb0.95Cr0.05,MIC,HydPark,350,DOE_data_url,0.6418538861723948
Nb0.97Cr0.03,MIC,HydPark,350,DOE_data_url,0.6418538861723948
Ni0.943Fe0.057,MIC,HydPark,298,DOE_data_url,0.8754687373538999
Ni0.979Fe0.021,MIC,HydPark,298,DOE_data_url,0.9555114450274363
Pd0.7Ag0.3,MIC,HydPark,323,DOE_data_url,0.262364264467491
Pd0.7Rh0.3,MIC,HydPark,298,DOE_data_url,0.6418538861723948
