Model,Fold,R2,RMSE,MAE,Weighted,Group
GradientBoosting,4,0.8555220483413682,0.1204865065330722,0.08477952595676826,5.231433500212431,Boosting
GradientBoosting,5,0.8731369746892386,0.1183315272973836,0.08122692584266127,5.44835760783781,Boosting
AdaBoost,1,0.7523791325291872,0.16061119064936352,0.12752308509550597,3.58811445427528,Boosting
AdaBoost,2,0.7451054793184143,0.15182610457357382,0.12099858800292813,3.7528869885281217,Boosting
AdaBoost,3,0.7806119262868859,0.15728270287120258,0.12658400187818253,3.6283241334709246,Boosting
AdaBoost,4,0.8067798921188748,0.1393361430071672,0.10915089469312869,4.148719527221867,Boosting
AdaBoost,5,0.7459179500559244,0.1674634100104897,0.13617721244366066,3.384899778888383,Boosting
CatBoost,1,0.8648754410107833,0.11864496868999815,0.07996485442236952,5.521122828641593,Boosting
CatBoost,2,0.8451861736035118,0.11832351753433178,0.08067147878327212,5.465493601122489,Boosting
CatBoost,3,0.8542358581677836,0.12820347776232421,0.09084556255259259,4.915618437545415,Boosting
CatBoost,4,0.8909099090500563,0.1046960450689409,0.07586203822710029,5.807275354605168,Boosting
CatBoost,5,0.8862516721357387,0.11204834561695795,0.07326639336345359,5.991280012928672,Boosting
SVR,1,0.8330041177985065,0.13189704399947136,0.09121103282358957,4.88523685967058,Kernel
SVR,2,0.7796435601187096,0.14116566330250366,0.1002120827850569,4.459320778235613,Kernel
SVR,3,0.7639069806007195,0.1631608764517665,0.10915321734887228,4.122917800712433,Kernel
SVR,4,0.8454442032859362,0.12461785554627755,0.08626668178811019,5.144050871490039,Kernel
SVR,5,0.8616729669790288,0.12356243806509859,0.08030679694719776,5.497902224723845,Kernel
KNN,1,0.757026512557007,0.15909686607848292,0.11027302679495428,4.081576211552835,Neighbor
KNN,2,0.7307877553651387,0.15603197441861574,0.10776363031684344,4.150300092810083,Neighbor
KNN,3,0.7220806668667215,0.17702468727590043,0.11902041771651303,3.794016305948879,Neighbor
KNN,4,0.7873864162452726,0.14616154611366103,0.10230483032311474,4.382315662042819,Neighbor
KNN,5,0.8165916973956687,0.14227953391877318,0.09497481170603408,4.701598008981878,Neighbor
MLP,1,0.8150480012069728,0.13880710478107464,0.09780362626338797,4.578856706724198,Neural
MLP,2,0.7884500447893033,0.1383160787961566,0.09595572766758516,4.641659122312479,Neural
MLP,3,0.798485024276441,0.15073986418112134,0.10316625191107917,4.3563279267371735,Neural
MLP,4,0.8569761762939463,0.119878642604086,0.0840119064857421,5.2754155924934985,Neural
MLP,5,0.8720326323418575,0.11884544913697034,0.08113514495839284,5.453265618086936,Neural
