log_H2_W% (max),H2_W% (max)
1.147402453,2.1500000005117434
1.105256831,2.0199999988319295
0.936093359,1.5499999995656464
1.181727195,2.2599999987657107
1.153731588,2.1700000003512705
1.121677562,2.070000001230745
1.011600912,1.7500000008841803
1.17557333,2.240000000634269
1.153731588,2.1700000003512705
1.036736885,1.8200000001409373
1.00795792,1.7399999989040578
1.141033005,2.1300000014020464
1.121677562,2.070000001230745
1.105256831,2.0199999988319295
0.963174318,1.6200000005947257
1.124929597,2.080000000044712
1.098612289,2.000000000995671
1.156881197,2.180000000661168
1.153731588,2.1700000003512705
0.548121409,0.7300000008482403
0.494696242,0.6400000002687845
1.121677562,2.070000001230745
1.105256831,2.0199999988319295
1.153731588,2.1700000003512705
1.131402111,2.0999999984775886
1.153731588,2.1700000003512705
1.121677562,2.070000001230745
1.153731588,2.1700000003512705
1.137833002,2.12000000055726
1.16315081,2.2000000006218214
1.091923301,1.9800000014384072
